time_stamps,time_stamps,cumulative_heading_changes,avg_distance_to_closest_person,intimate_space_intrusions,personal_space_intrusions,social_space_intrusions,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_acceleration,avg_overacceleration,avg_pedestrian_velocity,avg_closest_pedestrian_velocity,social_force_on_agents,social_force_on_robot,social_work,obstacle_force_on_robot,obstacle_force_on_agents
0,0.0,0.0,13.291750328995235,0,0,0,0,0,0,0.03787379339337349,-0.0003210096911061555,0.0,0.0,0.24924708902835846,0.24936659634113312,7.069123e-12,7.069123e-12,1.4138246e-11,0.0,0.0035320595
1,0.1,0.0017090924666263163,13.245301596239889,0,0,0,0,0,0,0.03752291947603226,0.022910574451088905,-0.003508739173412323,-0.03508739173412323,0.6181840002536774,0.6184793710708618,5.275083e-08,5.275083e-08,1.05501655e-07,0.0,0.003530976
2,0.2,0.0005960038397461176,13.165003262229138,0,0,0,0,0,0,0.10826706141233444,-0.0016725936438888311,0.7074414193630219,7.0744141936302185,0.8634651899337769,0.8638765811920166,4.1072017e-06,4.1072017e-06,8.214403e-06,0.0,0.0035292045
3,0.3,1.0804273188114166e-05,13.054990528308304,0,0,0,0,0,0,0.20744119584560394,-0.0010917974868789315,0.991741344332695,9.91741344332695,1.0265352725982666,1.0270224809646606,3.709927e-05,3.709927e-05,7.419854e-05,0.0,0.0035269838
4,0.4,2.1744053810834885e-05,12.921874521890466,0,0,0,0,0,0,0.30879634618759155,-0.0014431827003136277,1.013551503419876,10.135515034198761,1.1349453330039978,1.1354793310165405,0.0001444488,0.0001444488,0.00028889757,0.0,0.0035244762
5,0.5,2.576434053480625e-05,12.770051687467289,0,0,0,0,0,0,0.402875691652298,-0.0015655469615012407,0.9407934546470642,9.407934546470642,1.2070094347000122,1.2075668573379517,0.00036099125,0.00036099125,0.00072198245,0.0,0.003521802
6,0.6,2.660532481968403e-05,12.6024051420799,0,0,0,0,0,0,0.4773382842540741,7.218478276627138e-05,0.7446259260177612,7.446259260177612,1.2548998594284058,1.255459189414978,0.00067373674,0.00067373685,0.0013474734,0.0,0.0035190545
7,0.7,2.520717680454254e-05,12.420892655953294,0,0,0,0,0,0,0.5791351795196533,0.0004005543887615204,1.0179689526557922,10.179689526557922,1.2867065072059631,1.2872462272644043,0.0012369243,0.001236925,0.0024738489,0.0,0.0035163169
8,0.8,1.3922341167926788e-05,12.23964561764668,0,0,0,0,0,0,0.47787392139434814,-0.0006654288154095411,-1.0126125812530518,-10.126125812530518,1.3078445792198181,1.308366060256958,0.0010370351,0.0010370351,0.0020740698,0.0,0.0035136412
9,0.9,1.965300180017948e-05,12.05426917494525,0,0,0,0,0,0,0.5792909264564514,0.00024249085981864482,1.0141700506210327,10.141700506210327,1.3218762874603271,1.3223719596862793,0.001732653,0.001732653,0.003465305,0.0,0.003511028
10,1.0,2.1038344129920006e-05,11.857796323023004,0,0,0,0,0,0,0.6809802651405334,0.00031813813257031143,1.0168933868408203,10.168933868408203,1.3311460614204407,1.3315889835357666,0.0027425354,0.0027425354,0.005485069,0.0,0.0035085492
11,1.1,2.1969666704535484e-05,11.6506146821413,0,0,0,0,0,0,0.7827776074409485,0.00037197303026914597,1.0179734230041504,10.179734230041504,1.3372241854667664,1.3375828266143799,0.0041655432,0.0041655423,0.008331083,0.0,0.0035063014
12,1.2,0.0058303941041231155,11.43387973637491,0,0,0,0,0,0,0.8597241044044495,-0.222903311252594,0.7694649696350098,7.694649696350098,1.3411591053009033,1.3414021730422974,0.0057437522,0.005743753,0.011487499,0.0,0.0035043948
13,1.3,0.0444661492947489,11.212441655493494,0,0,0,0,0,0,0.8988119959831238,-0.6590367555618286,0.39087891578674316,3.9087891578674316,1.3436869382858276,1.3438047170639038,0.006921625,0.006921625,0.013843231,0.0,0.0035029037
14,1.4,0.07671235501766205,10.988508441834693,0,0,0,0,0,0,0.9047180414199829,-0.7939341068267822,0.05906045436859131,0.5906045436859131,1.3453043103218079,1.345306158065796,0.007278368,0.007278368,0.014556682,0.0,0.003501832
15,1.5,0.07885368168354034,10.770423724848193,0,0,0,0,0,0,0.8029362559318542,-0.7890608310699463,-1.0178178548812866,-10.178178548812866,1.3464205861091614,1.3463680744171143,0.0058895466,0.0058895466,0.011779024,0.0,0.0035010697
16,1.6,0.06790457665920258,10.561859667558048,0,0,0,0,0,0,0.7420234680175781,-0.5004879832267761,-0.6091278791427612,-6.091278791427612,1.347241222858429,1.3471941947937012,0.0052182307,0.0052182307,0.010436377,0.0,0.0035003885
17,1.7,0.04002740979194641,10.360410424092482,0,0,0,0,0,0,0.6568437218666077,-0.37581056356430054,-0.8517974615097046,-8.517974615097046,1.347825050354004,1.3478012084960938,0.004606793,0.004606801,0.009213515,0.0,0.0034996797
18,1.8,0.03783246874809265,10.16886161534444,0,0,0,0,0,0,0.5553555488586426,-0.3784094750881195,-1.0148817300796509,-10.148817300796509,1.3482567071914673,1.3482695817947388,0.003933768,0.003933768,0.007867472,0.0,0.0034988788
19,1.9,0.03784310817718506,9.987365286434418,0,0,0,0,0,0,0.4540461301803589,-0.37819811701774597,-1.013094186782837,-10.13094186782837,1.3485854268074036,1.3486435413360596,0.0033341423,0.003334143,0.006668239,0.0,0.0034979335
20,2.0,0.03783997893333435,9.815710938905307,0,0,0,0,0,0,0.35171160101890564,-0.37780338525772095,-1.0233452916145325,-10.233452916145325,1.3488402366638184,1.3489471673965454,0.0028083099,0.002808313,0.005616592,0.0,0.0034968187
21,2.1,0.03782975673675537,9.65356871600403,0,0,0,0,0,0,0.250717431306839,-0.3774280250072479,-1.0099416971206665,-10.099416971206665,1.3490431904792786,1.34920072555542,0.0023322033,0.0023322033,0.0046643876,0.0,0.0034955272
