experiment_tag,time_to_reach_goal,path_length,cumulative_heading_changes,avg_distance_to_closest_person,minimum_distance_to_people,maximum_distance_to_people,intimate_space_intrusions,personal_space_intrusions,social_space_intrusions,group_intimate_space_intrusions,group_personal_space_intrusions,group_social_space_intrusions,completed,minimum_distance_to_target,final_distance_to_target,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_acceleration,avg_overacceleration,avg_pedestrian_velocity,avg_closest_pedestrian_velocity,social_force_on_agents,social_force_on_robot,social_work,obstacle_force_on_robot,obstacle_force_on_agents,run_id
mcts_narrow_hallway_2_towards_robot,19.9,17.045817428920145,4.991331900731893,7.885368837271818,0.29415445232888504,17.567861066337564,5.0,8.5,11.5,0.0,0.0,0.0,True,0.08721038660036763,0.10213521048369369,0,0,0.0,0.863268344886601,0.25450669597053094,0.47843291126191617,4.784329112619162,0.8110525981034152,0.826827436783351,6.718805,6.7188096,13.3691845,0.0,14.3546715,0
mcts_narrow_hallway_1_ahead_robot,20.5,17.198484093961817,5.190042462432757,2.762615533930557,0.4491199347851773,4.2907448692168995,0.9708737864077669,12.135922330097088,69.41747572815534,0.0,0.0,0.0,True,0.0584716620288667,0.1771462157525321,0,0,0.0,0.8381615718374553,0.2589007412392481,0.4340447621076431,4.340447621076431,0.7434818297528517,0.7434818297528517,9.267617,9.267617,18.535234,0.0,2.6757963,0
mcts_narrow_hallway_1_behind_robot,19.19,16.0617607486364,4.9955375688150525,0.8544160359151445,0.5126072834436639,2.311526462938057,0.0,81.86528497409327,18.134715025906736,0.0,0.0,0.0,True,0.04035865089121581,0.04035865089121581,0,0,0.0,0.8449334731335159,0.26323869029271724,0.5363227845001783,5.363274383368964,1.0243627250223502,1.0243627250223502,14.888146,14.88815,29.776295,0.0,12.502509,0
nav2_narrow_hallway_1_behind_robot,24.9,17.263065661053716,3.785901192924939,1.89551188485053,0.4934991682447962,4.775737702271881,0.0,43.6,42.0,0.0,0.0,0.0,False,0.898668366051651,0.898668366051651,0,0,0.0,0.6940578788816929,0.16069834732741584,0.4102677145600319,4.102677145600319,0.7728804026742,0.7728804026742,13.51709,13.517086,27.034174,0.0,6.4280424,0
nav2_narrow_hallway_2_towards_robot,25.1,16.717748014805714,3.6834674169658683,7.787241328972787,0.253917025442812,17.0873446200849,3.571428571428571,9.126984126984127,10.714285714285714,0.0,0.0,0.0,False,0.5407033860196023,0.5407033860196023,0,0,0.0,0.6676121876826362,0.16647867392122054,0.3981052791433675,3.981052791433675,0.6452408685895895,0.6496156589682436,8.879355,8.879367,17.69317,0.0,14.161247,0
nav2_narrow_hallway_1_ahead_robot,27.1,18.167206932831235,3.5271688581851777,3.635962952399501,0.8836420871311992,6.580492992054966,0.0,16.911764705882355,31.25,0.0,0.0,0.0,False,0.941375737821313,0.941375737821313,0,0,0.0,0.6700913619167883,0.1414441186931232,0.4196591054856339,4.196591054856339,0.5223057848831345,0.5223057848831345,5.146595,5.1465955,10.293191,0.0,0.84140265,0
mcts_narrower_hallway_2_towards_robot,19.0,17.172034680443616,5.36182432010537,7.5415022707841946,0.06710010769039809,17.770927806616495,11.518324607329843,5.7591623036649215,12.041884816753926,0.0,0.0,0.0,True,0.10001569496054406,0.17759563289135655,0,0,0.0,0.9031341972892509,0.2880386923200494,0.2879794923032766,2.8797949230327657,0.8918741460723792,0.8938676573297116,15.133851,15.133859,29.535212,0.0,33.182465,0
nav2_narrower_hallway_2_towards_robot,26.39,16.49879657488621,5.914715632097796,7.002277405278682,0.23517909708826745,17.276806731125806,13.584905660377359,5.660377358490567,10.18867924528302,0.0,0.0,0.0,False,0.5450763455228375,0.5450763455228375,0,0,0.0,0.6385817711926857,0.24043214525893247,0.3202444052858673,3.202915622371353,0.6396869241602648,0.6372401628309404,17.32555,17.325554,34.46006,0.0,27.070425,0
nav2_t_shape_hallway_t_shape_hallway,57.39,19.306472891250564,10.38911835779436,1.7325593647461717,0.0670193717812756,18.23649210161285,50.60869565217392,13.043478260869565,17.739130434782606,0.0,0.0,0.0,False,0.7952977076946424,1.0317013077301387,0,0,0.0,0.35507066131285997,0.18704592392674255,0.25640653028043675,2.5650572376869962,0.7888412073066297,0.49258120946829087,107.86144,107.86144,184.0651,0.0,225.45683,0
nav2_wide_hallway_3_agent_group,25.99,16.933288956168006,2.908522526442539,8.020171394375721,0.24708333844145502,17.853357512470712,4.980842911877394,9.578544061302683,10.727969348659004,0.0,0.0,0.0,True,0.1740906130874094,0.1740906130874094,0,0,0.0,0.6507711634610804,0.12119915427117828,0.3838689156786946,3.8403378154534975,0.6137168136868973,0.6746214411035893,10.3823805,10.38238,19.336798,0.0,10.617605,0
nav2_doors_hallway_agents_doors_hallway,55.49,13.555326280568995,4.797274277487304,2.776914806524272,0.494500279132688,19.9498010112227,0.0,7.374100719424461,67.26618705035972,0.0,0.0,0.0,False,7.4072556776049705,7.4072556776049705,0,0,0.0,0.26917020900161576,0.0966827727082912,0.1564242874277785,1.5642807410082085,1.0667288455561186,1.2927276274612494,8.700699,8.700697,17.178568,0.0,175.74942,0
nav2_intersection_hallway_3_crossing,34.09,16.98515014063831,6.80081816832535,7.07510580894875,0.7124354079311235,13.631489850814752,0.0,4.093567251461988,15.497076023391813,0.0,0.0,0.0,True,0.27728140282654556,0.27728140282654556,0,0,0.0,0.5074753377760886,0.22203345568433228,0.33955118297572023,3.3955179490124814,0.6484859453879123,0.6954433023984059,3.232258,3.2322578,6.3997936,0.0,30.928095,0
